Date,AMZN,FSKAX,FTIHX,FXAIX,GOOG,META,NVDA,QQQ,VGT,VTI
2022-12-01,95.5,109.5605697631836,11.377559661865234,136.31283569335938,100.68153381347656,119.78286743164062,17.11978530883789,288.5339050292969,342.6753234863281,196.087646484375
2022-12-02,94.12999725341797,109.48382568359375,11.368332862854004,136.15908813476562,100.23419952392578,122.81620788574219,16.861013412475586,287.3845520019531,340.7518005371094,195.90518188476562
2022-12-05,91.01000213623047,107.32522583007812,11.220690727233887,133.72769165039062,99.27986907958984,121.76200866699219,16.595247268676758,282.5612487792969,334.2647399902344,192.0541229248047
2022-12-06,88.25,105.7614517211914,11.165326118469238,131.80557250976562,96.73499298095703,113.49735260009766,15.97280216217041,276.7065124511719,327.0024719238281,189.17303466796875
2022-12-07,88.45999908447266,105.55037689208984,11.137642860412598,131.5557403564453,94.58775329589844,113.30838012695312,16.105684280395508,275.5767517089844,325.5106506347656,188.86570739746094
2022-12-08,90.3499984741211,106.38504028320312,11.202237129211426,132.5648193359375,93.39484405517578,114.70074462890625,17.15375328063965,278.83819580078125,331.18310546875,190.49832153320312
2022-12-09,89.08999633789062,105.569580078125,11.229918479919434,131.60379028320312,92.5200424194336,115.26763153076172,16.985898971557617,277.0601501464844,329.1712951660156,188.90414428710938
2022-12-12,90.55000305175781,107.08538055419922,11.202237129211426,133.47781372070312,93.00714874267578,114.08412170410156,17.519428253173828,280.53759765625,336.3943786621094,191.6219482421875
2022-12-13,92.48999786376953,107.89125061035156,11.340649604797363,134.45806884765625,95.28360748291016,119.49445343017578,18.055952072143555,283.55340576171875,340.4082946777344,193.05291748046875
2022-12-14,91.58000183105469,107.2868423461914,11.340649604797363,133.67001342773438,94.7468032836914,120.92658996582031,17.658306121826172,281.451171875,337.8664855957031,191.977294921875
2022-12-15,88.44999694824219,104.59100341796875,11.063822746276855,130.34483337402344,90.66109466552734,115.51627349853516,16.93694496154785,272.0010986328125,325.0680847167969,187.19467163085938
2022-12-16,87.86000061035156,103.43684387207031,11.00139045715332,128.9022979736328,90.32311248779297,118.77837371826172,16.55628204345703,269.4076843261719,320.817626953125,185.05307006835938
2022-12-19,84.91999816894531,102.40530395507812,10.991930961608887,127.74362182617188,88.62321472167969,113.85537719726562,16.23956298828125,265.6214904785156,316.1933288574219,183.18995666503906
2022-12-20,85.19000244140625,102.57073974609375,11.010849952697754,127.87882232666016,89.10037231445312,116.45114135742188,16.07071304321289,265.414794921875,316.8918762207031,183.5740509033203
2022-12-21,86.7699966430664,104.13752746582031,11.11490535736084,129.8002471923828,89.71671295166016,119.10657501220703,16.486343383789062,269.2648620605469,321.90972900390625,186.34951782226562
2022-12-22,83.79000091552734,102.6291275024414,11.029768943786621,127.92708587646484,87.73845672607422,116.4809799194336,15.325377464294434,262.67730712890625,313.9303894042969,183.7064208984375
2022-12-23,85.25,103.20329284667969,11.058146476745605,128.68023681640625,89.27930450439453,117.39595794677734,15.192496299743652,263.2680358886719,314.0484619140625,184.7196807861328
2022-12-27,83.04000091552734,102.7556381225586,11.095985412597656,128.1685028076172,87.41041564941406,116.2422866821289,14.1084566116333,259.5459289550781,310.97869873046875,183.94766235351562
2022-12-28,81.81999969482422,101.48079681396484,11.00139045715332,126.63322448730469,85.94910430908203,114.98917388916016,14.023536682128906,256.1192626953125,306.0887145996094,181.63165283203125
2022-12-29,84.18000030517578,103.38819122314453,11.162202835083008,128.85400390625,88.42439270019531,119.60385131835938,14.590031623840332,262.3621826171875,314.43212890625,184.97056579589844
2022-12-30,84.0,103.13517761230469,11.077066421508789,128.5353546142578,88.20569610595703,119.68341064453125,14.601022720336914,262.2046813964844,314.264892578125,184.4977264404297
2023-01-03,85.81999969482422,102.6972427368164,11.133824348449707,128.0236358642578,89.16995239257812,124.05939483642578,14.302285194396973,260.43218994140625,311.25421142578125,183.7450408935547
2023-01-04,85.13999938964844,103.5925521850586,11.304094314575195,128.99884033203125,88.18580627441406,126.67505645751953,14.73590087890625,261.67291259765625,312.6021423339844,185.37588500976562
2023-01-05,83.12000274658203,102.36637115478516,11.237878799438477,127.52153778076172,86.25727081298828,126.24739837646484,14.252331733703613,257.5765380859375,306.12811279296875,183.2046356201172
2023-01-06,86.08000183105469,104.68248748779297,11.48382568359375,130.42787170410156,87.6390609741211,129.31057739257812,14.845804214477539,264.68597412109375,314.88470458984375,187.24794006347656
2023-01-09,87.36000061035156,104.70195007324219,11.559501647949219,130.36029052734375,88.27527618408203,128.76358032226562,15.614120483398438,266.3994140625,318.83013916015625,187.32516479492188
2023-01-10,89.87000274658203,105.51940155029297,11.587879180908203,131.2678985595703,88.7126693725586,132.26437377929688,15.894869804382324,268.654296875,320.8963623046875,188.80160522460938
2023-01-11,95.08999633789062,106.92074584960938,11.644637107849121,132.9576416015625,91.71484375,132.16494750976562,15.986788749694824,273.3021545410156,326.3077087402344,191.2913055419922
2023-01-12,95.2699966430664,107.45598602294922,11.786528587341309,133.43077087402344,91.36691284179688,135.964111328125,16.496335983276367,274.7792053222656,328.85601806640625,192.21768188476562
2023-01-13,98.12000274658203,107.923095703125,11.862204551696777,133.9618377685547,92.25164794921875,136.2326202392578,16.883991241455078,276.6697692871094,330.24322509765625,193.03793334960938
2023-01-17,96.05000305175781,107.7576675415039,11.881123542785645,133.69149780273438,91.61543273925781,134.62144470214844,17.686277389526367,277.2311096191406,331.89617919921875,192.77740478515625
2023-01-18,95.45999908447266,106.1032943725586,11.84328556060791,131.61550903320312,91.23766326904297,132.2942352294922,17.361570358276367,273.62713623046875,327.7146911621094,189.73765563964844
2023-01-19,93.68000030517578,105.23719024658203,11.833826065063477,130.62098693847656,93.35508728027344,135.4071502685547,16.750110626220703,270.9388732910156,323.6905822753906,188.19366455078125
2023-01-20,97.25,107.27108764648438,11.956799507141113,133.09280395507812,98.69334411621094,138.60955810546875,17.823158264160156,278.35357666015625,332.7522277832031,191.80274963378906
2023-01-23,97.5199966430664,108.6140365600586,12.013556480407715,134.67633056640625,100.61195373535156,142.48829650878906,19.17595672607422,284.5375061035156,340.65289306640625,194.2345733642578
2023-01-24,96.31999969482422,108.46806335449219,12.032475471496582,134.5894317626953,98.62376403808594,142.3590087890625,19.247888565063477,283.95648193359375,340.08221435546875,193.91607666015625
2023-01-25,97.18000030517578,108.4778060913086,12.070313453674316,134.5604705810547,96.15841674804688,140.72796630859375,19.30583953857422,283.32635498046875,339.364013671875,194.01258850097656
2023-01-26,99.22000122070312,109.67477416992188,12.10815143585205,136.05709838867188,98.57406616210938,146.49632263183594,19.784414291381836,288.8504943847656,344.7655334472656,196.01011657714844
2023-01-27,102.23999786376953,110.0445785522461,12.098691940307617,136.39503479003906,100.11489868164062,150.91209411621094,20.346914291381836,291.7257995605469,346.349609375,196.80142211914062
2023-01-30,100.55000305175781,108.58484649658203,11.985177993774414,134.6377410888672,97.37120819091797,146.25759887695312,19.144983291625977,285.82745361328125,339.5804443359375,194.16696166992188
2023-01-31,103.12999725341797,110.33653259277344,12.013556480407715,136.60743713378906,99.27986907958984,148.15719604492188,19.519651412963867,290.11090087890625,344.73602294921875,197.27427673339844
2023-02-01,105.1500015258789,111.62109375,12.145989418029785,138.0364990234375,100.83065032958984,152.28456115722656,20.924400329589844,296.3144836425781,353.197509765625,199.6771240234375
2023-02-02,112.91000366210938,113.37277221679688,12.117610931396484,140.07382202148438,108.15709686279297,187.74005126953125,21.689720153808594,306.9491882324219,363.7251892089844,202.65895080566406
2023-02-03,103.38999938964844,112.15634155273438,11.985177993774414,138.63514709472656,104.59825134277344,185.5122528076172,21.081262588500977,301.4939880371094,359.8682861328125,200.56488037109375
2023-02-06,102.18000030517578,111.36807250976562,11.84328556060791,137.7951202392578,102.85860443115234,185.0448455810547,21.070268630981445,298.94366455078125,355.1456298828125,199.0595245361328
2023-02-07,102.11000061035156,112.75968170166016,11.918961524963379,139.57174682617188,107.40158081054688,190.57449340820312,22.153308868408203,305.1373596191406,363.65625,201.56851196289062
2023-02-08,100.05000305175781,111.49459838867188,11.881123542785645,138.02685546875,99.40909576416016,182.42916870117188,22.18527603149414,299.7116394042969,359.0516662597656,199.41656494140625
2023-02-09,98.23999786376953,110.42411041259766,11.909502029418945,136.82952880859375,94.89592742919922,176.94923400878906,22.317163467407227,297.0628662109375,357.5364990234375,197.4769287109375
2023-02-10,97.61000061035156,110.60902404785156,11.84328556060791,137.1578369140625,94.29946899414062,173.19979858398438,21.24611473083496,295.1131591796875,355.2637023925781,197.833984375
2023-02-13,99.54000091552734,111.8935775756836,11.928420066833496,138.7413787841797,94.43864440917969,178.45098876953125,21.768646240234375,299.8396911621094,361.3047790527344,200.18858337402344
2023-02-14,99.69999694824219,111.97142791748047,11.928420066833496,138.72203063964844,94.3889389038086,178.50071716308594,22.950597763061523,302.0552673339844,363.22332763671875,200.26577758789062
2023-02-15,101.16000366210938,112.51641082763672,11.862204551696777,139.14686584472656,96.52623748779297,176.19337463378906,22.74378204345703,304.3692932128906,365.7814025878906,201.1632080078125
2023-02-16,98.1500015258789,111.00801086425781,11.84328556060791,137.23509216308594,95.21403503417969,171.49916076660156,21.98246192932129,298.6580810546875,359.1107177734375,198.48052978515625
2023-02-17,97.19999694824219,110.69658660888672,11.81490707397461,136.88748168945312,94.03106689453125,171.93673706054688,21.36900520324707,296.5508117675781,354.71270751953125,197.90150451660156
2023-02-21,94.58000183105469,108.34156036376953,11.691933631896973,134.145263671875,91.5060806274414,171.14111328125,20.636653900146484,289.52996826171875,346.1331787109375,193.80029296875
2023-02-22,95.79000091552734,108.27344512939453,11.625717163085938,133.93287658691406,91.25755310058594,170.18630981445312,20.735572814941406,289.74658203125,346.054443359375,193.63624572753906
2023-02-23,95.81999969482422,108.84759521484375,11.663555145263672,134.65704345703125,90.53186798095703,171.10133361816406,23.64298439025879,292.2772216796875,351.37725830078125,194.66879272460938
2023-02-24,93.5,107.69927978515625,11.493284225463867,133.247314453125,88.822021484375,169.4603271484375,23.265316009521484,287.3832702636719,345.267333984375,192.49754333496094
2023-02-27,93.76000213623047,108.04960632324219,11.57841968536377,133.6721649169922,89.56759643554688,168.61497497558594,23.480127334594727,289.4413146972656,346.8120422363281,193.18267822265625
2023-02-28,94.2300033569336,107.77713012695312,11.521663665771484,133.27627563476562,89.76641845703125,173.9855194091797,23.19538116455078,289.0671081542969,346.4480285644531,192.5361328125
2023-03-01,92.16999816894531,107.34893798828125,11.625717163085938,132.6583251953125,89.97518157958984,172.4738006591797,22.67784309387207,286.74322509765625,343.7718200683594,192.9993438720703
2023-03-02,92.12999725341797,108.13719940185547,11.644637107849121,133.68182373046875,91.76453399658203,173.57772827148438,23.29329490661621,289.1163024902344,347.8549499511719,193.29847717285156
2023-03-03,94.9000015258789,109.86941528320312,11.786528587341309,135.8543243408203,93.46442413330078,184.2392578125,23.86878204345703,295.09344482421875,355.1553955078125,196.44436645507812
2023-03-06,93.75,109.72344207763672,11.777069091796875,135.95089721679688,95.01522064208984,183.8911590576172,23.533082962036133,295.42828369140625,356.4443664550781,196.18385314941406
2023-03-07,93.55000305175781,108.10799407958984,11.57841968536377,133.8652801513672,93.6135482788086,183.50328063964844,23.27126693725586,291.80450439453125,352.0561828613281,193.25990295410156
2023-03-08,93.91999816894531,108.24424743652344,11.606799125671387,134.06805419921875,94.09071350097656,183.96078491210938,24.16362762451172,293.26202392578125,354.8406066894531,193.51080322265625
2023-03-09,92.25,106.09355163574219,11.493284225463867,131.61550903320312,92.11247253417969,180.69866943359375,23.41916275024414,288.18084716796875,349.2520751953125,189.6894073486328
2023-03-10,90.7300033569336,104.26402282714844,11.408149719238281,129.6940460205078,90.47222137451172,178.5305633544922,22.94849967956543,284.1337890625,342.3451843261719,186.49525451660156
2023-03-13,92.43000030517578,103.93315887451172,11.351391792297363,129.48165893554688,91.1183853149414,179.91299438476562,22.949499130249023,286.24102783203125,343.9390869140625,185.72328186035156
2023-03-14,94.87999725341797,105.71403503417969,11.427067756652832,131.6927490234375,93.69307708740234,192.96139526367188,24.04570960998535,292.8187561035156,351.7019958496094,189.033203125
2023-03-15,96.19999694824219,104.8284683227539,11.143282890319824,130.77549743652344,95.97948455810547,196.67103576660156,24.210594177246094,294.35491943359375,351.5740661621094,187.5760498046875
